comparison_id,model_a,model_b,metric,k_definition,model_a_estimate,model_b_estimate,delta_mean_genome,delta_mean_lineage,lineage_bootstrap_ci_low,lineage_bootstrap_ci_high,direction_favors_model_a
teacher_vs_cheap,M1_full_distilled,M4_cheap_feature_baseline,spearman,,0.24251349565391134,0.2078666408386137,0.03464685481529763,0.03156535407371421,0.024774842849203553,0.03799502664780824,True
teacher_vs_cheap,M1_full_distilled,M4_cheap_feature_baseline,recall_at_k,top_1_percent,0.012095162353713832,0.05756675575734841,-0.045471593403634596,-0.04929317353748144,-0.05951717119163454,-0.03945752166390166,False
teacher_vs_cheap,M1_full_distilled,M4_cheap_feature_baseline,ndcg_at_k,top_1_percent,0.3558671497806093,0.3838965978393575,-0.02802944805874827,-0.05600563243967436,-0.07296992633062957,-0.037004247625941164,False
teacher_vs_sequence_only,M1_full_distilled,M5_sequence_only,spearman,,0.24251349565391134,-0.012169217998532007,0.2546827136524433,0.24966530366843193,0.2400010775969552,0.2583244717679092,True
teacher_vs_sequence_only,M1_full_distilled,M5_sequence_only,recall_at_k,top_1_percent,0.012095162353713832,0.0340175347110978,-0.021922372357383965,-0.026319338662506533,-0.041889799272612,-0.01368589363938913,False
teacher_vs_sequence_only,M1_full_distilled,M5_sequence_only,ndcg_at_k,top_1_percent,0.3558671497806093,0.2503533134966125,0.10551383628399677,0.0878237938737174,0.06761353958500742,0.10431955946261061,True
ranking_loss,M1_full_distilled,M2_huber_only,spearman,,0.24251349565391134,0.22265766927739608,0.019855826376515198,0.01986060683164273,0.016996778433036805,0.022493558154614963,True
ranking_loss,M1_full_distilled,M2_huber_only,recall_at_k,top_1_percent,0.012095162353713832,0.008448354150292964,0.003646808203420869,0.002565309067764487,-0.0008350676550270807,0.006064776921735661,True
ranking_loss,M1_full_distilled,M2_huber_only,ndcg_at_k,top_1_percent,0.3558671497806093,0.35285026478602644,0.0030168849945827496,-0.0022080467447681933,-0.012392345763587642,0.008570102299738466,True
residual_vs_raw_ppl,M1_full_distilled,M3_raw_ppl,spearman,,0.24251349565391134,0.07511587937086571,0.16739761628304559,0.167464652533922,0.16187189395028012,0.17308792386274255,True
residual_vs_raw_ppl,M1_full_distilled,M3_raw_ppl,recall_at_k,top_1_percent,0.012095162353713832,0.009541426745944088,0.0025537356077697444,0.0029221716583553267,-0.0026212508063928443,0.008610418742036295,True
residual_vs_raw_ppl,M1_full_distilled,M3_raw_ppl,ndcg_at_k,top_1_percent,0.3558671497806093,0.15494933191311394,0.20091781786749524,0.18680303151752234,0.1765786952881512,0.19654178280596643,True
