teacher_call_fraction_requested,teacher_calls,teacher_call_fraction_actual,student_coverage,spearman,risk,recall_top_1_percent,recall_top_5_percent,recall_fixed_100,ndcg_top_1_percent,ndcg_top_5_percent,ndcg_fixed_100,replicate,aurc_risk_coverage
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,0,0.3275322656758386
0.01,3558,0.010055392267691612,0.9899446077323084,0.2718652597897371,0.728134740210263,0.016252156454303425,0.09697310315591298,0.01955555555555556,0.4161716957373251,0.44051695019944986,0.41387774894606816,0,0.3275322656758386
0.05,17709,0.050048044313814155,0.9499519556861858,0.3116736281265337,0.6883263718734663,0.05125631323296756,0.10685484568027347,0.052222222222222225,0.5685522704934245,0.5024688191303923,0.5444576362345331,0,0.3275322656758386
0.1,35401,0.10004804431381416,0.8999519556861858,0.3592971033524798,0.6407028966475201,0.10082069489216464,0.1259404365650145,0.10355555555555555,0.681988818315082,0.5596540754917021,0.6590804699777035,0,0.3275322656758386
0.2,70783,0.20004239204160074,0.7999576079583992,0.4511690984826205,0.5488309015173795,0.19149321174288808,0.19818178838172712,0.19333333333333333,0.7911027647039699,0.6599366103360575,0.7739762045789138,0,0.3275322656758386
0.3,106173,0.30005934885824104,0.699940651141759,0.5378655498804084,0.4621344501195917,0.29188274907598977,0.2967835751545302,0.2964444444444444,0.8516057268232006,0.7449331614690089,0.8392157590175707,0,0.3275322656758386
0.5,176928,0.5000226090888538,0.49997739091114624,0.6958395944552536,0.3041604055447464,0.49146117865799616,0.49999068298439686,0.49266666666666664,0.9202684740814507,0.8558758226051696,0.9135079489515712,0,0.3275322656758386
0.75,265397,0.7500480443138141,0.2499519556861859,0.8642287031291782,0.13577129687082198,0.7414850540804928,0.7499750583089816,0.7451111111111112,0.9674082909633075,0.9414738031254051,0.9647997263261047,0,0.3275322656758386
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3275322656758386
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,1,0.3276322032249902
0.01,3558,0.010055392267691612,0.9899446077323084,0.2716510014077714,0.7283489985922286,0.01656375110827571,0.0980135927631466,0.021333333333333336,0.4197614770805302,0.4421317338580141,0.41691091513334144,1,0.3276322032249902
0.05,17709,0.050048044313814155,0.9499519556861858,0.3110887454411587,0.6889112545588414,0.04357858917287967,0.10802159860273648,0.04777777777777777,0.5685617089831116,0.5026718601912376,0.5448876493302626,1,0.3276322032249902
0.1,35401,0.10004804431381416,0.8999519556861858,0.35922340256885277,0.6407765974311472,0.09564122447610929,0.1265544152399702,0.09844444444444443,0.6841175409692888,0.5615185849558059,0.6615289070247248,1,0.3276322032249902
0.2,70783,0.20004239204160074,0.7999576079583992,0.45103747768645264,0.5489625223135474,0.20110766981057746,0.20258901137846003,0.20444444444444446,0.7966067388215532,0.6651610745654266,0.7796489099776794,1,0.3276322032249902
0.3,106173,0.30005934885824104,0.699940651141759,0.5380929374000983,0.46190706259990166,0.30387990036947615,0.3044745079822795,0.30600000000000005,0.8564584526755119,0.7505632132661485,0.843928163154843,1,0.3276322032249902
0.5,176928,0.5000226090888538,0.49997739091114624,0.6952099940623421,0.304790005937658,0.5103249038897972,0.5024898249619534,0.5135555555555555,0.9228105577657446,0.858336257731588,0.9162462436140462,1,0.3276322032249902
0.75,265397,0.7500480443138141,0.2499519556861859,0.8644606434346016,0.13553935656539848,0.7542359912011266,0.7502344025251663,0.7548888888888887,0.9704245708778406,0.9428505049550738,0.9675902650787658,1,0.3276322032249902
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,1,0.3276322032249902
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,2,0.328342622772261
0.01,3558,0.010055392267691612,0.9899446077323084,0.2717872916794114,0.7282127083205885,0.016251821900410197,0.09795924413559615,0.018888888888888893,0.41689954241080585,0.441150745688456,0.41465640392261344,2,0.328342622772261
0.05,17709,0.050048044313814155,0.9499519556861858,0.3108205835122381,0.6891794164877618,0.05209764865390997,0.10812270364643177,0.05088888888888888,0.5699221433462283,0.5037295352786213,0.5453370846357134,2,0.328342622772261
0.1,35401,0.10004804431381416,0.8999519556861858,0.3585018994500022,0.6414981005499978,0.09708064913057532,0.125476870847377,0.09555555555555553,0.6797370647609084,0.5593114264489505,0.6569212515839532,2,0.328342622772261
0.2,70783,0.20004239204160074,0.7999576079583992,0.4504739359440675,0.5495260640559324,0.20285782547242048,0.2042979871233258,0.20177777777777778,0.7974047026493836,0.6642981636917313,0.7804835132841158,2,0.328342622772261
0.3,106173,0.30005934885824104,0.699940651141759,0.53709878661653,0.46290121338347,0.3026447613632653,0.30430865210414293,0.3022222222222223,0.8568383921668502,0.7503727562914624,0.8442937524668047,2,0.328342622772261
0.5,176928,0.5000226090888538,0.49997739091114624,0.6946202943455085,0.3053797056544915,0.5024897049876685,0.5001963682283551,0.5013333333333334,0.9191603824767305,0.8559849786200502,0.9130744343884735,2,0.328342622772261
0.75,265397,0.7500480443138141,0.2499519556861859,0.8632225721111553,0.13677742788884464,0.7417560106461613,0.750014268565654,0.7451111111111112,0.9663930878904918,0.9410519673206464,0.9639359550786286,2,0.328342622772261
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,2,0.328342622772261
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,3,0.3270995578591075
0.01,3558,0.010055392267691612,0.9899446077323084,0.2717409362754007,0.7282590637245993,0.015401183268114078,0.09928997529454728,0.017777777777777778,0.4189114411432579,0.44212057483826894,0.4160792404680892,3,0.3270995578591075
0.05,17709,0.050048044313814155,0.9499519556861858,0.3110867383163058,0.6889132616836942,0.052253231883135076,0.11142054009652913,0.05177777777777777,0.5725480725149759,0.5047119564433652,0.5484649441819477,3,0.3270995578591075
0.1,35401,0.10004804431381416,0.8999519556861858,0.35909861427526213,0.6409013857247378,0.09855577474715164,0.12765070154263408,0.09844444444444442,0.6808315694087596,0.5604640465951635,0.6584996084727012,3,0.3270995578591075
0.2,70783,0.20004239204160074,0.7999576079583992,0.4516144200115536,0.5483855799884464,0.19271586181211342,0.19790847719779034,0.19066666666666662,0.7879988044250903,0.6597345879496593,0.7714711413381805,3,0.3270995578591075
0.3,106173,0.30005934885824104,0.699940651141759,0.5386396690794063,0.4613603309205938,0.2933491394746642,0.2982774422640171,0.2906666666666667,0.8477934312595866,0.7445053145707904,0.8357809607783759,3,0.3270995578591075
0.5,176928,0.5000226090888538,0.49997739091114624,0.6963822036665894,0.3036177963334106,0.5034694736096653,0.4975312309627239,0.4975555555555556,0.9173556909727156,0.8541669905158428,0.9109619202390996,3,0.3270995578591075
0.75,265397,0.7500480443138141,0.2499519556861859,0.8650062742814005,0.1349937257185995,0.7490032586076457,0.7481887353170852,0.7428888888888889,0.9658911603828073,0.9401736988140954,0.9631669426828217,3,0.3270995578591075
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,3,0.3270995578591075
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,4,0.32751133318994663
0.01,3558,0.010055392267691612,0.9899446077323084,0.2720021050578151,0.727997894942185,0.01793370081383543,0.09767104098123489,0.021111111111111112,0.41910077465187223,0.44207123961649847,0.41617891743015273,4,0.32751133318994663
0.05,17709,0.050048044313814155,0.9499519556861858,0.31074244075748864,0.6892575592425114,0.04803042407872109,0.10649087424653894,0.049333333333333326,0.5668863943497501,0.5018885162308877,0.5428622818533633,4,0.32751133318994663
0.1,35401,0.10004804431381416,0.8999519556861858,0.35891236674298216,0.6410876332570176,0.09532640970545923,0.12491987283464286,0.09644444444444444,0.6807744137479104,0.5594592453238433,0.6578859171214849,4,0.32751133318994663
0.2,70783,0.20004239204160074,0.7999576079583992,0.4509057807248014,0.5490942192751986,0.1951837000794165,0.1963618863717347,0.1911111111111111,0.7900102071316324,0.659558365394432,0.7730818526775968,4,0.32751133318994663
0.3,106173,0.30005934885824104,0.699940651141759,0.5379774141829808,0.46202258581701916,0.2903408554883015,0.2968128910410526,0.28933333333333333,0.8485281511057862,0.7441868908634043,0.8364242053349844,4,0.32751133318994663
0.5,176928,0.5000226090888538,0.49997739091114624,0.6960737605631591,0.303926239436841,0.4868628855012842,0.4979863665724147,0.48800000000000004,0.9150900660858395,0.8533600581241934,0.9089379608637352,4,0.32751133318994663
0.75,265397,0.7500480443138141,0.2499519556861859,0.8644092349334838,0.13559076506651643,0.7401433232707201,0.7474629086611865,0.7395555555555556,0.965552209262586,0.9401568640605666,0.9629759509085323,4,0.32751133318994663
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,4,0.32751133318994663
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,5,0.32750640132885467
0.01,3558,0.010055392267691612,0.9899446077323084,0.2719477544175048,0.7280522455824953,0.01634604225201753,0.09709912866061132,0.019111111111111113,0.4172521751655551,0.44077648407050957,0.4146842878394005,5,0.32750640132885467
0.05,17709,0.050048044313814155,0.9499519556861858,0.3114041561716891,0.688595843828311,0.053182160736840726,0.1079355903997379,0.051333333333333335,0.5718218820708378,0.5038315308854309,0.5473093550177175,5,0.32750640132885467
0.1,35401,0.10004804431381416,0.8999519556861858,0.3597343526593099,0.64026564734069,0.10218973635116543,0.12528438772763592,0.09977777777777776,0.6859868345729191,0.5614740479617912,0.6625848165999596,5,0.32750640132885467
0.2,70783,0.20004239204160074,0.7999576079583992,0.4517867400947915,0.5482132599052085,0.1990804182490123,0.199681225924988,0.19755555555555548,0.7971178343712817,0.663150716752612,0.7796419310223726,5,0.32750640132885467
0.3,106173,0.30005934885824104,0.699940651141759,0.5375878920126052,0.46241210798739474,0.313258412646389,0.3033680074600211,0.30955555555555553,0.8580702811055149,0.7493947086398987,0.8459853680634101,5,0.32750640132885467
0.5,176928,0.5000226090888538,0.49997739091114624,0.695601315400223,0.30439868459977704,0.5233626580683238,0.5036412396948992,0.5124444444444444,0.9247692222471126,0.8594610240741736,0.9181583811361699,5,0.32750640132885467
