assembly_id,cluster_id,cluster_size,split,split_version,allocation_seed,mash_distance_threshold,source_cluster_manifest_sha256
GCA_014881055.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_014882805.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_021387855.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_023273785.1,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_028634015.3,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_034331205.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_038069235.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_038627255.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_041292065.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_042165515.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_042209675.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_043647235.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_052398755.1,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_052399425.1,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCA_056504615.1,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCF_000828795.1,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCF_001668465.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCF_001669145.2,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCF_001922245.1,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
GCF_002082745.1,MASH_0002,124,development,dissertation_v1,20260820,0.01,8b31e8fe5cf15b6de88e8175fe1ec9700646e2684d50dccb19bbdc26ca47efea
